,dataset,n_rows,n_classes,tabpfn_acc,tabpfn_auc,distilled_acc,distilled_auc,distilled+finetuned_acc,distilled+finetuned_auc,baseline_mlp_acc,baseline_mlp_auc
0,tic-tac-toe,958,2,0.5690526315789474,0.5355794409448433,0.5189473684210526,0.5154980935739493,0.5349473684210526,0.52670856398886,0.5444210526315789,0.532917296839591
1,monks-problems-2,601,2,0.6256323777403037,0.49551345206517616,0.5612141652613828,0.5073057976506252,0.5662731871838111,0.5078400909435392,0.5480607082630691,0.5006871289629911
2,sonar,208,2,0.634,0.6948045422570596,0.553,0.5952266103909156,0.5429999999999999,0.5682343483067028,0.587,0.6502462064114158
3,ionosphere,351,2,0.7352769679300292,0.8144493717664449,0.643731778425656,0.6364079822616409,0.6064139941690962,0.5751071692535108,0.7206997084548105,0.7280044345898005
4,vehicle,846,4,0.44606205250596653,0.7295265877411664,0.3708830548926014,0.6142650565192342,0.3400954653937947,0.5769869929675406,0.38568019093078754,0.6384399816029989
5,wdbc,569,2,0.9187165775401069,0.9786129839060461,0.7547237076648842,0.8417015550239235,0.7333333333333333,0.8240933558068726,0.8994652406417114,0.9603169856459332
6,diabetes,768,2,0.6628947368421052,0.7307002096436058,0.6142105263157895,0.6124703640175339,0.58,0.6019035639412997,0.6031578947368421,0.655750714694111
7,ilpd,583,2,0.7067826086956521,0.5924641537324463,0.6076521739130435,0.5758595713229859,0.6142608695652173,0.5748721359940873,0.5944347826086956,0.5998167036215817
8,blood-transfusion,748,2,0.7502702702702703,0.6012360976789168,0.6091891891891892,0.569719132817537,0.5991891891891893,0.5934467682140554,0.7124324324324325,0.6315915135396519
9,heart-statlog,270,2,0.7068702290076335,0.8015351913084554,0.6610687022900763,0.7065836088804913,0.6396946564885496,0.6869036372224847,0.6824427480916031,0.7936820973075107
10,wine,178,3,0.8823529411764707,0.9813836605539903,0.6788235294117648,0.8324043030028973,0.6035294117647059,0.7249371728233831,0.7717647058823529,0.9413242341850816
11,hepatitis,155,2,0.7836734693877551,0.7112250712250712,0.6353741496598639,0.6404273504273504,0.6149659863945578,0.5972934472934475,0.7142857142857142,0.7593162393162393
12,tae,151,3,0.42797202797202794,0.6001887634486419,0.4153846153846154,0.5797935663627153,0.3972027972027973,0.5695780262459593,0.441958041958042,0.6182242666570174
13,haberman,306,2,0.7228187919463087,0.526645858620889,0.6228187919463087,0.4886769550893012,0.6181208053691275,0.46702502745506047,0.6785234899328858,0.4979365354603781
14,vote,435,2,0.8894613583138173,0.9631066389081656,0.7545667447306792,0.7776914179967614,0.7672131147540984,0.7890168864214666,0.8491803278688526,0.946201711774231
15,monks-problems-1,556,2,0.6091240875912409,0.6370025041291492,0.535036496350365,0.5325190473653365,0.5361313868613139,0.5302253716234215,0.5704379562043795,0.5897570461931909
16,monks-problems-3,554,2,0.6197802197802197,0.7289350607461562,0.5582417582417583,0.5648505537039028,0.5472527472527473,0.5576860015052145,0.6135531135531135,0.6919040963337275
17,planning-relax,182,2,0.7045977011494253,0.4750322580645162,0.5264367816091954,0.511774193548387,0.5310344827586208,0.5155483870967742,0.6528735632183909,0.5006451612903227
18,credit-approval,690,2,0.7680351906158358,0.8227383160479637,0.6105571847507332,0.5920800787202731,0.6196480938416422,0.5842855525658106,0.7023460410557185,0.7739404547314891
19,breast-w,699,2,0.94356005788712,0.9902517298310052,0.8266280752532561,0.6713042833027251,0.8237337192474674,0.6693036154859294,0.9444283646888568,0.9855259984788617
20,breast-cancer,286,2,0.6611510791366906,0.5930367624343528,0.5892086330935251,0.5287982700030893,0.60431654676259,0.5626011739264751,0.6453237410071943,0.5690639481000926
21,credit-g,1000,2,0.6405241935483871,0.5715674138831404,0.5645161290322581,0.5463706167920623,0.5616935483870968,0.5377487766667312,0.6370967741935484,0.5893777923911572
22,cleveland,303,2,0.6569491525423728,0.7631481481481482,0.6528813559322033,0.6950648148148149,0.6535593220338983,0.6705046296296296,0.7213559322033898,0.7901574074074074
23,colic,368,2,0.7411111111111109,0.7816104136994468,0.635,0.641823722301348,0.6200000000000001,0.6248948362094664,0.6472222222222221,0.6993673611341128
24,biomed,209,2,0.8189054726368159,0.8999354005167959,0.6616915422885572,0.6748815676141258,0.6378109452736318,0.626496554694229,0.764179104477612,0.8701981050818259
25,analcatdata_lawsuit,264,2,0.934375,0.9438842203548085,0.90703125,0.8040849673202615,0.92578125,0.8482726423902894,0.85390625,0.8109710550887023
26,climate-crashes,540,2,0.9154135338345866,0.6120921743098335,0.7379699248120299,0.5551676933607118,0.7191729323308271,0.5442573579739904,0.7473684210526316,0.5325667351129363
27,acute-inflammations,120,2,0.9089285714285713,0.9942389525368249,0.8410714285714287,0.8045171849427168,0.8482142857142858,0.7635351882160393,0.9232142857142858,0.9791162029459901
28,breast-tissue,106,6,0.3469387755102041,0.6308269643792296,0.25918367346938775,0.5729778061891148,0.2551020408163266,0.5537717415919993,0.2693877551020408,0.5968634741003761
29,fertility,100,2,0.8804347826086957,0.4958473625140291,0.741304347826087,0.5808080808080808,0.8021739130434782,0.5967452300785634,0.7434782608695653,0.568013468013468
30,corral,160,2,0.7473684210526316,0.8604735865505206,0.6947368421052632,0.7174416686620374,0.6763157894736842,0.6988422209311607,0.7197368421052632,0.8046095105866019
31,australian,690,2,0.7824046920821115,0.8662504245147471,0.6739002932551319,0.7113909280110069,0.6662756598240469,0.7132779504863415,0.7557184750733137,0.8534183233626793
32,conference_attendance,246,2,0.8563025210084033,0.5142147435897435,0.7201680672268906,0.47820512820512817,0.7100840336134454,0.48193910256410255,0.7058823529411764,0.5336057692307692
33,autoUniv-au7-700,700,3,0.3734104046242775,0.537469215895055,0.34768786127167634,0.5217583698122686,0.342485549132948,0.5151200277180162,0.3554913294797688,0.5257338712505629
34,diabetes-risk,520,2,0.771875,0.8974748207235518,0.657421875,0.6691048263637095,0.637890625,0.6331754089114495,0.77265625,0.8883442107807589
35,ar1,121,2,0.9256637168141593,0.5961904761904762,0.7486725663716814,0.4333333333333334,0.7079646017699115,0.48357142857142865,0.8265486725663717,0.5635714285714286
36,ar4,107,2,0.7979797979797979,0.6344736842105263,0.6606060606060606,0.3863815789473684,0.6464646464646464,0.4330921052631579,0.7010101010101011,0.6142105263157894
37,backache,180,2,0.8406976744186047,0.6949887387387387,0.686046511627907,0.536402027027027,0.7244186046511628,0.5539414414414414,0.5267441860465116,0.550563063063063
38,datatrieve,130,2,0.9180327868852458,0.6628571428571428,0.8278688524590164,0.6453571428571427,0.8327868852459017,0.5883928571428572,0.840983606557377,0.6026785714285715
39,profb,672,2,0.6322289156626507,0.5583240554426321,0.5123493975903615,0.490847062909206,0.4996987951807229,0.4971155122927796,0.5027108433734939,0.511191689733716
40,kc2,522,2,0.745136186770428,0.7277005472115496,0.6941634241245136,0.4665176388403772,0.6599221789883268,0.4561578763534754,0.7443579766536964,0.6606473396204448
41,megawatt1,253,2,0.8726530612244898,0.6192483315770987,0.7681632653061226,0.6256585879873551,0.7306122448979592,0.62053038285915,0.7379591836734695,0.6031436599929751
