,metric,mean,std
0,teacher_acc,0.7267545181276757,0.15307069572175377
1,student_acc,0.7110757967729628,0.15083870196360924
2,baseline_acc,0.718128450524792,0.15632574775067093
3,agreement,0.8205404799758216,0.11498884654845445
4,teacher_auc,0.707502780273018,0.1521176518599251
5,student_auc,0.6895892215456061,0.15775559071738512
6,baseline_auc,0.6938357834531831,0.16034499668590838
7,kl,0.7005337902193152,0.6252946337566112
