,dataset,n_rows,n_classes,xgboost_acc,xgboost_auc
0,tic-tac-toe,958,2,0.9885416666666667,0.9994188658898242
1,monks-problems-2,601,2,0.7767634854771783,0.8412536220832699
2,sonar,208,2,0.7928571428571429,0.886951566951567
3,ionosphere,351,2,0.9148936170212766,0.9614379084967322
4,vehicle,846,4,0.7610619469026549,0.9328915935431663
5,wdbc,569,2,0.9649122807017545,0.9930728095433977
6,diabetes,768,2,0.7512987012987014,0.8138931510670944
7,ilpd,583,2,0.6982905982905983,0.7431942085977299
8,balance-scale,625,3,0.8720000000000001,0.9087444981213098
9,blood-transfusion,748,2,0.7613333333333333,0.6934928347376836
10,titanic,1309,2,0.7954198473282442,0.8538611111111111
11,heart-statlog,270,2,0.8055555555555556,0.8931249999999998
12,glass,214,6,0.7534883720930232,0.9132452580230501
13,wine,178,3,0.9555555555555555,0.9975516649130741
14,zoo,101,7,0.9365853658536585,0.9936955173797279
15,hepatitis,155,2,0.8129032258064516,0.8103610675039246
16,lymph,148,4,0.8633333333333333,0.8942826010984202
17,tae,151,3,0.5901639344262295,0.738817266744096
18,haberman,306,2,0.7040650406504065,0.6740740740740742
19,vote,435,2,0.945977011494253,0.9827869995815316
20,monks-problems-1,556,2,1.0,1.0
21,monks-problems-3,554,2,0.9855855855855855,0.9869727752945959
22,planning-relax,182,2,0.6438356164383562,0.4532967032967033
23,credit-approval,690,2,0.8615942028985508,0.9363940698230513
24,breast-w,699,2,0.9607142857142857,0.9917751112613373
25,breast-cancer,286,2,0.6730434782608695,0.6190631808278867
26,credit-g,1000,2,0.767,0.8031666666666666
27,ecoli,336,8,0.8592592592592592,0.8994086739473162
28,flags,194,8,0.6615384615384616,0.8474893835057428
29,cleveland,303,2,0.8114754098360656,0.8898809523809523
30,colic,368,2,0.831081081081081,0.9058064516129031
31,biomed,209,2,0.8928571428571429,0.942962962962963
32,analcatdata_authorship,841,4,0.9804154302670623,0.999476709410389
33,analcatdata_lawsuit,264,2,0.9830188679245282,0.9973214285714287
34,climate-crashes,540,2,0.9092592592592592,0.870594837261504
35,acute-inflammations,120,2,0.9833333333333334,0.9942857142857143
36,breast-tissue,106,6,0.40930232558139534,0.7171705318764143
37,fertility,100,2,0.865,0.6302857142857142
38,corral,160,2,1.0,1.0
39,australian,690,2,0.8630434782608696,0.9279239066900473
40,conference_attendance,246,2,0.8585858585858587,0.5845785440613027
41,autoUniv-au7-700,700,3,0.5242857142857142,0.7039193043781371
42,autoUniv-au6-400,400,8,0.35374999999999995,0.595627675438078
43,diabetes-risk,520,2,0.9721153846153847,0.99306640625
44,ar1,121,2,0.9061224489795918,0.6938888888888889
45,ar4,107,2,0.8697674418604651,0.8150000000000001
46,backache,180,2,0.8472222222222221,0.6890322580645162
47,datatrieve,130,2,0.8961538461538462,0.7515625
48,profb,672,2,0.6646840148698885,0.6640471756672874
49,kc2,522,2,0.8191387559808613,0.7951106752591762
50,megawatt1,253,2,0.8745098039215687,0.6805194805194805
